generation,best_f1,best_f2,best_f3,n_pareto
183,1494.8,18,601.0,60
184,1494.8,18,601.0,60
185,1494.8,18,601.0,60
186,1494.8,18,601.0,60
187,1494.8,18,601.0,60
188,1494.8,18,601.0,60
189,1494.8,18,601.0,59
190,1494.8,18,601.0,60
191,1494.8,18,601.0,60
192,1494.8,18,601.0,60
193,1494.8,18,601.0,60
194,1494.8,18,601.0,60
195,1494.8,18,601.0,60
196,1494.8,18,601.0,60
197,1494.8,18,601.0,60
198,1494.8,18,601.0,60
199,1494.8,18,601.0,60
200,1494.8,18,601.0,60
